שם יישוב,סוג יישוב,סטטוס,כתיבים חלופיים,מה הנציג עושה,הערה,מקור,תאריך עדכון,כמות התקנות,תאריך התקנה אחרונה
בית נחמיה,מושב,מתקינים,,להמשיך לבדיקת תשתית ושטח,ברירת מחדל למושב שאינו חריג,סיווג ראשוני,,,
בית ניר,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,,
בית נקופה,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,,
בית סאחור,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,,
בית סוריכ,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,,
בית סירא,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,,
בית עוא,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,,
בית עובד,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,,
בית עוזיאל,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,,
בית עור אל,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,,
בית עזרא,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,2,נובמבר 2020
בית עמרא,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,,
בית עריף,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,,
בית פג'אר,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,,
בית פג׳אר,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,,
בית פוריכ,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,,
בית צבי,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,,
בית קאד דרו,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,,
בית קאד צפו,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,,
בית קמה,קיבוץ,מתקינים,,להמשיך לבדיקת תשתית ושטח,ברירת מחדל לקיבוץ שאינו חריג,סיווג ראשוני,,1,פברואר 2021
בית קשת,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,,
בית רבן,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,,
בית רימא,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,,
בית רימון,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,,
בית שאן,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,1,אוקטובר 2020
בית שמש,עיר,מתקינים,,להמשיך לבדיקת תשתית ושטח,ברירת מחדל לעיר שאינה חריגה,סיווג ראשוני,,2,יולי 2022
בית שערים,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,1,יוני 2024
בית שקמה,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,,
ביתא א תחתא,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,,
ביתא פוקא,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,,
ביתוניא,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,,
ביתין,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,,
ביתן אהרן,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,,
ביתר עילית,עיר,מתקינים,,להמשיך לבדיקת תשתית ושטח,ברירת מחדל לעיר שאינה חריגה,סיווג ראשוני,,,
בכורה,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,,
בלאטה,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,,
בלעא,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,,
בלעין,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,,
בלפוריה,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,,
בן זכאי,מושב,מתקינים,,להמשיך לבדיקת תשתית ושטח,ברירת מחדל למושב שאינו חריג,סיווג ראשוני,,,
בן עמי,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,1,פברואר 2026
בן שמן (כפר נוער),יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,,
בן שמן (מושב),יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,,
בני ברק,עיר,מתקינים,,להמשיך לבדיקת תשתית ושטח,ברירת מחדל לעיר שאינה חריגה,סיווג ראשוני,,,
בני דקלים,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,,
בני דרום,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,16,מאי 2024
בני דרור,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,2,נובמבר 2024
בני יהודה,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,1,נובמבר 2020
בני נעים,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,,
בני נצרים,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,,
בני סוהילה,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,,
בני עטרות,מושב,מתקינים,,להמשיך לבדיקת תשתית ושטח,ברירת מחדל למושב שאינו חריג,סיווג ראשוני,,,
"בני עי""ש",יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,,
בני עצמון,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,,
בני ציון,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,,
בני ראם,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,,
בניה,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,,
בנימינה - גבעת עדה,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,,
בנימינה גבעת עדה,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,1,מרץ 2022
בנימינה-גבעת עדה,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,11,ספטמבר 2025
"בסמ""ה",כפר,לא מתקינים,,לא לקדם,יישוב ערבי,ויקיפדיה + הנחיית עבודה פנימית,,,
בסמת טבעון,כפר,לא מתקינים,,לא לקדם,יישוב ערבי,ויקיפדיה + הנחיית עבודה פנימית,,,
בענה,כפר,לא מתקינים,,לא לקדם,יישוב ערבי,ויקיפדיה + הנחיית עבודה פנימית,,,
בצרה,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,,
בצת,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,1,פברואר 2022
בקוע,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,,
בקעות,התנחלות,מתקינים,,להמשיך לבדיקת תשתית ושטח,ברירת מחדל להתנחלות שאינה חריגה,סיווג ראשוני,,,
בר גיורא,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,,
בר יוחאי,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,,
ברג',יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,,
ברג׳,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,,
ברדלא,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,,
ברוקין,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,,
ברור חיל,קיבוץ,מתקינים,,להמשיך לבדיקת תשתית ושטח,ברירת מחדל לקיבוץ שאינו חריג,סיווג ראשוני,,2,ספטמבר 2024
ברוש,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,,
ברטעה,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,,
בריג,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,,
ברכה,התנחלות,מתקינים,,להמשיך לבדיקת תשתית ושטח,ברירת מחדל להתנחלות שאינה חריגה,סיווג ראשוני,,,
ברכיה,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,,
ברעם,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,,
ברק,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,,
ברקא,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,,
ברקאי,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,,
ברקין,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,,
ברקן,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,1,מרץ 2024
ברקת,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,,
בת הדר,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,,
בת חן,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,,
בת חפר,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,5,מאי 2022
בת חצור,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,,
בת ים,עיר,מתקינים,,להמשיך לבדיקת תשתית ושטח,ברירת מחדל לעיר שאינה חריגה,סיווג ראשוני,,,
בת עין,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,,
בת שלמה,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,,
בתיר,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,,
ג'אלוד,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,,
ג'אניה,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,,
ג'ארושיה,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,,
ג'בע ג'נין,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,,
ג'בע רמאללה,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,,
ג'בעה,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,,
ג'דידה,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,,
ג'דירה,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,,
ג'וריש,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,,
ג'ורת אל שמ,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,,
ג'ז אבו רעד,כפר,לא מתקינים,,לא לקדם,יישוב ערבי,ויקיפדיה + הנחיית עבודה פנימית,,,
ג'יב,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,,
ג'יביא,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,,
ג'יוס,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,,
ג'ית,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,,
ג'לבון,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,,
ג'לג'ליה,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,,
ג'לזון,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,,
ג'למה,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,,
ג'לקמוס,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,,
ג'מאלה,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,,
ג'מאעין,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,,
ג'ניד,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,,
ג'נין,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,,
ג'נצאפוט,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,,
ג'רבא,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,,
גאולי תימן,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,,
גאולים,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,,
גאליה,מושב,מתקינים,,להמשיך לבדיקת תשתית ושטח,ברירת מחדל למושב שאינו חריג,סיווג ראשוני,,1,אוקטובר 2020
גבאליה,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,,
גבאליה העיר,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,,
גבולות,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,,
גבים,קיבוץ,מתקינים,,להמשיך לבדיקת תשתית ושטח,ברירת מחדל לקיבוץ שאינו חריג,סיווג ראשוני,,,
גבל אל ערף,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,,
גבל הלאל,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,,
גבל חמיר,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,,
גבל מגארה,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,,
גבע,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,,
גבע בנימין,התנחלות,מתקינים,,להמשיך לבדיקת תשתית ושטח,ברירת מחדל להתנחלות שאינה חריגה,סיווג ראשוני,,,
גבע כרמל,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,,
גבעולים,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,,
גבעון החדשה,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,1,ספטמבר 2024
גבעות בר,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,,
גבעת אבני,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,1,נובמבר 2020
גבעת אלה,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,13,נובמבר 2024
גבעת ברנר,קיבוץ,מתקינים,,להמשיך לבדיקת תשתית ושטח,ברירת מחדל לקיבוץ שאינו חריג,סיווג ראשוני,,1,אוקטובר 2024
גבעת השלושה,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,,
גבעת זאב,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,,
"גבעת ח""ן",יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,,
גבעת חיים (איחוד),יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,,
גבעת חיים (מאוחד),יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,,
גבעת חיים איחוד,קיבוץ,מתקינים,,להמשיך לבדיקת תשתית ושטח,ברירת מחדל לקיבוץ שאינו חריג,סיווג ראשוני,,,
גבעת יואב,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,,
גבעת יערים,מושב,מתקינים,,להמשיך לבדיקת תשתית ושטח,ברירת מחדל למושב שאינו חריג,סיווג ראשוני,,,
גבעת ישעיהו,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,,
"גבעת כ""ח",יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,,
"גבעת ניל""י",יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,,
גבעת עדה,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,,
גבעת עוז,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,,
גבעת שמואל,עיר,מתקינים,,להמשיך לבדיקת תשתית ושטח,ברירת מחדל לעיר שאינה חריגה,סיווג ראשוני,,,
גבעת שמש,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,,
גבעת שפירא,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,,
גבעתי,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,,
גבעתיים,עיר,מתקינים,,להמשיך לבדיקת תשתית ושטח,ברירת מחדל לעיר שאינה חריגה,סיווג ראשוני,,,
גברעם,קיבוץ,מתקינים,,להמשיך לבדיקת תשתית ושטח,ברירת מחדל לקיבוץ שאינו חריג,סיווג ראשוני,,,
גבת,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,,
גדות,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,,
גדיד,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,,
גדידה,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,,
